year location_id count location_id_fac
2013 1 1 1
2014 1 2 1
2015 1 3 1
2016 1 4 1
2017 1 5 1
2018 1 6 1
2019 1 7 1
2015 2 1 2
2016 2 NA 2
2017 2 0 2
2018 2 1 2
2019 2 0 2
2015 3 3 3
2016 3 NA 3
2017 3 4 3
2018 3 11 3
2019 3 5 3
1992 4 100 4
1993 4 90 4
1994 4 NA 4
1995 4 NA 4
1996 4 NA 4
1997 4 NA 4
1998 4 NA 4
1999 4 NA 4
2000 4 NA 4
2001 4 NA 4
2002 4 NA 4
2003 4 50 4
2004 4 49 4
2005 4 48 4
2006 4 47 4
2007 4 46 4
2008 4 45 4
2009 4 44 4
2010 4 43 4
2011 4 42 4
2012 4 41 4
2013 4 40 4
2014 4 39 4
2015 4 38 4
2016 4 37 4
2017 4 36 4
2018 4 35 4
2019 4 34 4
